;target;text;chars;word_count;hash_count;punctuation_count;punctuation;uppercase
540;negative;aw not going to toronto anymore;33;6;0;2;[',', '.'];2
541;negative; so sorry to hear about your mom that really sucks;51;10;0;1;['!'];1
542;positive; i feel for you i hope its a smooth flight be safe mucho amor from boston;78;16;0;4;['`', '.', '!', '!'];5
543;negative;cant sleepso im watching hgtv im afraid infomercials are about to take over;82;13;0;7;['`', '.', '.', '.', '`', '.', '`'];7
544;negative;im getting me my family ready for kaylees graduation its gonna make me so sad;84;16;0;5;['`', '`', '!', '`', '.'];3
545;positive; sweet dreams;13;2;0;0;[];0
546;neutral; hay wats ur aim we should chat;32;7;0;1;['?'];3
547;neutral; okay kool i might be touring all summer long but we can make it happen;76;16;0;5;['.', '.', '.', '.', '!'];2
548;negative;in pain my big toe got stomped on during the hokey cokeu its throbbing anyone have any suggestions to heal it;114;21;0;5;['.', '.', '`', '.', '?'];6
549;neutral;time to watch op then some dead like me then sleep;53;11;0;3;[',', ',', '.'];6
550;neutral;having dinner with my grandma since i couldnt be with my mum;62;12;0;2;['`', '.'];2
551;positive; haha thanks its for history and its on how the invention of television has influence america lol;98;17;0;0;[];0
552;neutral; yea so wassup;14;3;0;0;[];0
553;negative;stupid jobs idk what to do;28;6;0;2;[',', '.'];1
554;negative;shopped til i droppedcome bac sunshine i miss u;51;9;0;4;['.', '.', '.', '.'];1
555;positive; like your pics lucky girl again;34;6;0;2;[',', ','];3
556;neutral; thank you ive had anxiety issues for years so i think if i can make it through the first couple of days then i will be fine;128;27;0;2;['`', '.'];5
557;neutral;around hours left until a day weekend and i have waaaay too much work to do;80;18;0;1;['.'];2
558;positive;feeling loved my mom got me a nikon cool pix for my birthday;66;13;0;5;['!', '!', '!', '!', '!'];6
559;neutral; there were attempts to somehow extend inner classes which would be close to cant find the ref atm;110;19;1;3;[',', ',', '`'];3
560;neutral; yes join us all we require is a cupcake donation;54;10;0;5;['!', '!', '.', '.', '.'];3
561;negative;i have such a hard time talking to new people i am pretty sure i didnt make a good impression;102;21;0;7;['-', '`', '.', '.', '.', '.', '.'];2
562;negative;rc haha yup but still have a terrible headache and super swollen and puffy eyes i dont think im going out todayugh;123;22;0;4;['.', '!', '.', '!'];0
563;neutral; cant access your site;24;4;0;2;['`', '!'];1
564;positive;and the sun is shinningat last;39;6;0;9;['.', '.', '.', '.', '.', '.', '.', '.', '.'];2
565;negative;we are on the slowest train ever it stops everywhere missed a quick train by a few minutes;92;18;0;2;[',', '.'];2
566;neutral; nup no cd either just a whole bunch of zeros and ones you can have for free;78;17;0;2;['.', '.'];0
567;neutral;my graduation day and i feel like a failure;49;9;0;6;['.', '.', '.', '.', '.', '.'];2
568;neutral;ops that lol wasnt supposed to got to twitter;47;9;0;0;[];0
569;negative;i dont think ive ever been so tierd in my lifeughgoodnightso sleeping in tomorrow;86;14;0;5;['`', '`', '.', ',', '.'];4
570;neutral; what are u going to do today my girl;38;9;0;1;['?'];1
571;negative;why doesnt he want me anymore;29;6;0;0;[];0
572;negative;bad hair day;12;3;0;0;[];0
573;negative;headache;13;1;0;5;['.', '.', '.', '.', '.'];0
574;negative;sorry guys i didnt sign in for a while sorry every;53;11;0;1;['`'];0
575;neutral; i am just okayokay like the rest of the sane population in the world i hate mondays;91;18;0;6;['`', '-', '`', '.', '.', ','];2
576;neutral;mozarts requiem;17;2;0;2;['`', '!'];0
577;neutral; i think i am a bit in love with his creations and wit but not that physically attracted to him although he has great style;124;25;0;1;[','];0
578;positive;amichael hey thanks for another great day im going to sleep now ill chat with you tomorrow sweet dreams;113;19;0;7;['!', '!', '`', '!', '`', '!', '!'];4
579;negative; i bet its cool down in sr huh its not here i havent stopped sweating since noon when dad and i were packing;113;23;0;5;[',', '?', '`', '.', '`'];6
580;neutral; ohshnapsss is she pissed at blair as usual hahah yeeeah i bake cookies;78;15;0;4;['.', '?', '.', ','];10
581;neutral; no bueno hollykins needs to feel better asap ps i miss you you done with uni soon arent you soproudofyou;117;20;0;8;['.', '.', '.', '.', '.', '`', '?', '.'];12
582;positive; cool you and your mother have awesome hair styles wish her a happy mothers day;111;17;0;6;['-', '!', ',', '!', '`', '!'];1
583;positive;happy mothers day mothers;27;4;0;2;['`', '.'];0
584;neutral;my expression watching this again ;63;6;0;4;['-', '-', '-', ':'];1
585;negative;stupid bipolar weather ruined my day off;40;7;0;0;[];1
586;negative; i didnt want to tell you but i think its your body odour;59;13;0;2;['`', '`'];2
587;neutral; nice beta for easports still no news on the online for madden;62;12;0;0;[];0
588;negative; thats pretty bad quality and probably the worst pic u posted till date;71;13;0;0;[];0
589;negative;i missed your calls;19;4;0;0;[];1
590;negative; unfortunately for us it looks like there are no funny people on twitter should we move to fb or start our ownflitter;121;22;0;3;['.', '.', '.'];6
591;positive;just came back from karaoke eating dinner with emily it was sooooo much fun;78;15;0;1;['.'];0
592;positive; discrimination is not a bad thing ive learned to say no my children would say i mastered that years ago;107;20;0;3;['.', '`', '.'];4
593;neutral; sure i can talkthe fabulous part though is out sorry dear;68;12;0;4;['.', '.', '.', '.'];0
594;negative; did you see the sec clip of the new moon trailer its up on etonlinecom check it out its a big tease though;118;24;0;8;['?', '?', '.', '.', '.', '.', '.', ','];4
595;positive;just got back from working out im feeling pretty good work at ;69;13;0;4;['.', '`', '.', ':'];2
596;neutral;ahhh my satz blend didnt save;30;6;0;1;['`'];3
597;positive; so why should that matter i bet you would be great at it i do its what you love right why not go for it;116;25;0;12;['!', '!', '!', '?', '!', '!', '!', '!', '`', ',', '?', '!'];11
598;positive;dh is just about finished making his giant trio candy bar thank the heavens his work mates are in for a treat tomorrow;121;23;0;3;['.', '.', '!'];5
599;neutral;my ear are popping;19;4;0;1;['.'];1
600;negative;working on diffusing that irritation but this traffic sure isnt helping mother f its always real bad the days th i help plan stuff;135;24;0;3;['`', '!', '`'];1
601;negative; i submitted my resume the same day and saw no answer back oh well;70;14;0;4;['.', '.', '.', '.'];2
602;neutral;catching up on weeks of lost and greys house is quiet again;68;13;0;4;['`', '!', '!', '.'];7
603;positive;i love when ryans a housewife makes me smile;46;9;0;2;['.', '.'];2
604;negative;soooim kinda o sick n tired of the bs that guys dish out ;72;14;0;14;['.', '.', '.', '.', '.', '`', '!', '!', '!', '!', '!', '!', '!', '!'];2
605;negative; boo i was hoping for a fake alien story with a tinfoil covered beachball photo;82;15;0;3;['.', '.', '.'];0
606;neutral; hey phillll wazzuppppp;26;3;0;3;['!', '?', '!'];2
607;negative;missed out on westcott micro apollo too;39;7;0;0;[];0
608;positive; great you can buy me lunch when i get my pay cut next month;75;16;0;8;['.', '.', '.', '.', '.', '-', '.', '.'];0
609;positive;finally gone to the beach yeaaaah;35;6;0;2;[',', '!'];0
610;positive;ranjan did i ever mention what a nice and awesome dude you are;64;13;0;1;['?'];2
611;neutral;last weekday of doing nothing school starts next week;57;9;0;4;[',', '!', '!', '!'];0
612;positive; hello gorgeous girl nice new pic how are you today;54;10;0;2;['!', '!'];9
613;positive;ok that duet was hysterical lol;36;7;0;0;[];4
614;neutral;ok i have to turn off all of my twitter device updates until i get a new battery phone goes from fully charged to dead in about hours;137;29;0;2;[',', '.'];0
615;neutral;michelle is a hot mama with chichis grande;42;8;0;0;[];0
616;positive; either way you always tend to make my list sweetie you do rock that much;91;17;1;3;[',', ',', '-'];0
617;neutral; no one i know likes boiled peanuts t;38;8;0;1;['.'];1
618;positive;watched th episode of numbrs loved how they did a throwback to the first episode using the sprinkler theory;113;19;0;2;['.', ','];0
619;negative;im sleepy but is feeling under the weather ugh these tonsils i need some company or somebody to talk too;114;21;0;5;['`', '!', '!', '.', '!'];3
620;neutral; please get a cell phone with a better camera on it your pictures are real bad quality compared to those that miley took;123;23;0;3;['.', '.', '.'];2
621;positive;ichigo she tried to carry on aswell bless i suppose maybe thats why kids shouldnt be in it;96;18;0;5;[',', ',', '`', '`', '?'];3
622;positive;booziest weekend in a long time good fun though;49;9;0;2;[',', '!'];0
623;negative;counting the hours of lost sunshine until the weekend;53;9;0;0;[];2
624;negative;planning and trying to call the doctor though that isnt going so well so mostly planning;93;16;0;5;['!', ',', '`', '.', ','];1
625;neutral; hoooray im hooked already;29;4;0;2;['!', '`'];2
626;positive; ok then have a good day;24;6;0;0;[];1
627;neutral; i agree everybody wouldve been excited and then it goes ohhhh nooooo ms screws up again;100;16;0;12;['.', '`', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.'];4
628;neutral;edge left me off the contributors list in this months issue x ffs werd;77;15;0;4;['`', '.', '.', '-'];5
629;neutral; ooo growl and yummy time coming soon for you too huh oh yeah i have been hunting for a combo tshirt think i can find one no;128;27;0;3;[',', ',', '?'];6
630;negative;im back to this zindex problemagain;39;6;0;4;['-', '.', '.', '.'];0
631;negative;is anyone out there so bored at work;42;8;0;5;['?', '?', '.', '.', '.'];0
632;negative;am hating my life at the moment theres only so many nos my delicate little mind can take;90;18;0;2;['.', '`'];4
633;neutral;wwwmyspacecomfashionisthenextcity check out and started new tees limited edition in different ways check facebook group too;132;17;0;6;['.', '.', '/', '`', '!', '!'];0
634;neutral; they being the husband or the girl;38;7;0;3;"[""'"", ""'"", '?']";1
635;neutral;thinking of what i should do in vegas any good ideas or places that are a most see;88;18;0;6;['?', '?', '?', '!', '?', '?'];4
636;negative;first day of summer sucks its overcast and cold this isnt summer;81;12;0;16;['!', '!', '!', '!', '.', '.', '.', '`', '!', '?', '!', '?', '!', '?', '!', '?'];0
637;neutral; hi to one kiwi artist from another kiwi artist;49;9;0;0;[];1
638;positive;says happy mothers day to all moms out there ;71;10;0;1;['`'];4
639;neutral; oooo ok why havent you accepted my friends request;54;9;0;0;[];0
640;negative;sorry to tweet about bgt but poor wonderful crazy weird greg so not fair the silly little girl is never going to cope urgh not fair;136;26;0;4;['.', '.', '.', '.'];11
641;neutral; no;3;1;0;0;[];0
642;positive;michele thanks for thatam now following themlove good causes;67;9;0;6;['.', '.', '.', '.', '.', '.'];0
643;negative; not available in my area i would too;38;8;0;0;[];2
644;neutral;its friday only more hours until im freeuntil tomorrow oh well;74;12;0;9;['!', '`', '!', '.', '.', '.', '.', '.', '.'];4
645;neutral;meeting just in time that im trying to win something prizes friday;72;12;0;2;['`', '!'];0
646;negative;waiting for having cramps;32;6;0;1;[':'];1
647;positive;philosophy final today thank you its days now;54;9;0;6;['!', '`', '!', '!', '!', '!'];0
648;neutral;s plans didnt go as followed but its ok;42;9;0;3;['`', '`', ','];0
649;neutral; what did you do let me guess you skipped sports and bought a new pinkish outfit;88;16;0;5;['?', '.', '.', '.', '?'];1
650;neutral;where is the rain please come out;33;7;0;0;[];0
651;neutral; my pleasure;12;2;0;0;[];1
652;negative;st presentation for senior boards fml;39;6;0;1;['?'];3
653;positive; lol i know but it was just so funny ahaha;43;10;0;1;[','];0
654;negative;wide awake and grouchy as ;31;6;0;1;['.'];1
655;negative;just when i thought things couldnt get any worse it just did and it will get even worse tonight i bet my life is a misery;128;26;0;6;['`', '.', '.', ',', '.', '.'];0
656;neutral; i dont have the app that does it;34;8;0;1;['`'];1
657;positive; lol hi emmy latin would help me study for the aptitude tests to get into grad school thats why i wanna take it;115;24;0;3;"[',', ';', '\\']";0
658;neutral;out for supper tonight with kurumi in minutes;48;9;0;0;[];0
659;positive;kap but i think its cute do this every night okay;54;11;0;3;['`', '.', '?'];3
660;positive;is happyskool just let out today was my last day yippee rip jackson tyler morris always loved and never forgotten;131;20;0;18;['.', '.', '.', '.', '.', '!', '.', '.', '!', '!', '.', '.', '.', '.', '!', '.', '.', '!'];15
661;neutral; hi mariah;11;2;0;0;[];0
662;neutral;yours im not at home with my cats right now;48;10;0;2;['`', '!'];2
663;negative; wheres the music mannnn my inbox is still empty;52;9;0;4;['!', '!', '?', '?'];0
664;negative;what am i doing atm oh yeah apple juice im such a rebel;85;14;0;4;['?', '.', '`', '!'];6
665;negative; im sorry about you are still sick u know most of them and i know that u will guess the pelzer present ;114;23;0;10;"['.', '.', '.', '`', ',', ""'"", ""'"", ';', '-', ')']";3
666;positive; nice one ;11;3;0;1;['!'];0
667;neutral;exam today going to get my license renewed the birthday is getting closer;78;14;0;2;['.', '!'];3
668;positive;gotta get creative with these mothers day gifts im gonna win them over with my love;87;16;0;4;['.', '`', '!', '!'];2
669;neutral;thinks its gonna rain;21;4;0;0;[];1
670;positive; aah well have a few friends over there just wondering if alls great and weathers been good;99;17;0;8;['.', ',', '.', '`', '`', '.', '.', '.'];1
671;neutral;yrbook signing w evryone was fun im gna miss evrything;57;10;0;3;['/', ',', '`'];2
672;negative;i lost my artistic abilities;28;5;0;0;[];1
673;neutral; so not close enough that i could run out and get one;55;12;0;0;[];1
674;negative; that was stone cold crazy ;36;6;0;5;['.', '.', '.', '.', '?'];2
675;neutral;totally having austin powers withdrawl symptons and darrius withdrawl symptoms and mommy and minne withdrawl syamptoms;119;16;0;1;['.'];1
676;positive;xo they were so pretty and took like an hour to do can i do ursssss;70;16;0;1;['!'];13
677;neutral;seniors last day;18;3;0;2;['`', '.'];1
678;negative;crisis forgot my fringe comb im with menno one will help me;66;12;0;6;[':', '`', '.', '.', '.', '.'];2
679;positive; already got my ticket thanks for making sure though;54;9;0;2;"[';', '!']";1
680;positive;thanks to all my new followers;31;6;0;1;['!'];1
681;neutral; were getting closer rather than further from real lobby dates chicago blogher squee;98;16;0;8;['-', '`', '-', ',', '-', '!', '!', '!'];7
682;neutral;has lost his vocie and adele is laughing at me lol and still wondering why im in college on me week off;104;22;0;1;['`'];6
683;negative;killboy oh sorry not getting all my replies nothing against you and yes i do know nirvana;95;17;0;3;['!', '.', ','];2
684;positive;busy working on a new kit and a couple interviews doneyea the weekend pray for my uncle still young and had a massive stroke;135;24;0;11;['.', '.', '.', '.', '.', '.', '!', '!', ',', '!', '!'];4
685;neutral;didnt get bitten by a rabies infested person last night yay for me gonna scare rachel with quarantine tonight this shall be fun;131;23;0;3;['`', '!', ','];4
686;negative; nooo no roo crying but omg i wanted to slap her she was singing fine then from out of nowhere boohooooooooooo;115;22;0;3;['.', '.', '-'];15
687;neutral;watching the simpsons;21;3;0;0;[];0
688;positive;good morning court crossfit bible study someone very specials house ;104;15;0;6;['!', '-', '-', '-', '-', '`'];7
689;positive; have a great time in london;28;6;0;0;[];2
690;neutral;has work very very soon way too soon;39;8;0;3;[',', '.', '!'];2
691;neutral; phaket what did anneliese want to do;40;7;0;2;['.', '?'];0
692;negative;in the emergency room with my cousin shes got mad flu and cant walk or breathe why are hospitals always so cold;117;22;0;5;['.', '`', '`', '.', '?'];3
693;positive; thanks for the greeting;25;4;0;0;[];1
694;neutral;im hungry wife is at a bodyshop party and is bringing a takeaway home with her how much longer will the party go on;120;25;0;3;['`', '-', '?'];3
695;positive; such a pretty baby;47;6;0;2;['-', '!'];1
696;neutral; invite them to your house instead;34;6;0;0;[];1
697;neutral; im a bit bens thaied out;28;6;0;3;['`', '`', '-'];3
698;neutral; ;39;2;1;0;[];0
699;positive;jungle book is sooooo cute i have nothing to eat or drink;61;13;0;2;['.', '.'];0
700;neutral;dead stopped in the express lane this would happen when i choose to take it no way out now ugh hopefully this gets moving;125;24;0;4;['.', '.', '.', '.'];6
701;neutral;okeefe yay youre on twitter youre my secret celeb crush too much info;80;13;0;9;['!', '`', '!', '`', '!', '(', '?', '?', ')'];6
702;positive; ah ok thank youuuuuu;24;4;0;2;[',', '!'];0
703;negative;twitter you just fail at life sometimes oh well ;77;10;0;3;[',', '.', '.'];2
704;positive;no phone call yet minutes until i pluck up the courage i wish my phone would ring;87;18;0;3;['.', '.', '.'];22
705;neutral; points at the gear question i just posted i cant get the rest of my dreadweave set;85;17;0;0;[];3
706;neutral; you remind me so much of a omaha girl that i use to date i guess it all in the jeans calvin kleins is what she wore;123;27;0;6;[',', '.', ',', '(', ')', '.'];8
707;positive; sherrieshepherd gave the link for he gives twitter tips hope this helps;108;13;0;1;['.'];6
708;positive; i loved him and he was in a mini;33;9;0;0;[];1
709;positive; yeah im okay been icing and ace bandage and sitting on my on twitter lol thanks;90;17;0;4;['`', '.', '.', '.'];6
710;positive; youre so gorgeous;21;3;0;3;['`', '!', '!'];0
711;positive;i guess the relaxing dinner and a movie is out for tonighti was looking forward to that after my day at work;111;22;0;3;['.', '.', '.'];2
712;neutral;my laptop grew speakers now i can watch charlie with the sound on;66;13;0;1;['.'];4
713;positive; rofl uh huh;12;3;0;0;[];0
714;positive; this was funny i have ;26;6;0;2;['!', '.'];2
715;negative; well doesnt that look fab even if i do say so myself;56;12;0;3;['`', ',', '!'];1
716;neutral;deadlines;10;1;0;1;['!'];0
717;negative;has a terrible headache i need relief;40;7;0;2;['.', '!'];1
718;negative;two months ago i became irrelevant;36;6;0;2;[',', '.'];2
719;negative;finally sunny days and im too sick to go outside and play;59;12;0;2;['`', '.'];2
720;positive; good luck how exciting;25;4;0;2;['!', '!'];1
721;positive;working up to my vacation to thailand getting more excited every day;69;12;0;1;['.'];3
722;neutral; we wont be home till like next month;38;8;0;1;['`'];0
723;positive;finally a chance to show genuine love not dependent selfish love i hope i can do it my heart goes out to you and im sorry ur pain;136;29;0;5;[',', ',', '.', '`', '.'];5
724;negative; im game too bad your leaving hi;35;7;0;3;['`', ',', '!'];3
725;negative;so screwed for sat us;23;6;0;0;[];1
726;negative;just got an im from another coworker who just got laid off lots of people becoming unemployed;95;17;0;2;['-', '.'];4
727;positive; the exact one i was thinking of the bestttt;46;9;0;1;['.'];0
728;neutral;easties you can go there anytime;32;6;0;0;[];0
729;positive;why does do folders instead of labels like i kind of like labels;85;15;2;2;[',', '?'];2
730;neutral; lemme guess you ran miles at the gym and are waking your kids up and then going to the beach and or recording studio;126;27;0;5;['-', ',', ',', '/', '?'];0
731;negative;i never knew a dentention was so hard get;43;10;0;0;[];0
732;positive;pacquiao fight was fun at home wif fam and melissa sat today was a mission to ikea srsly different freeways to ge to burbank;132;25;0;3;['.', '.', '.'];0
733;negative;my nail broke i haaaaaaaaate;29;5;0;0;[];1
734;negative; dang that is disappointing;30;4;0;3;['.', '.', '.'];3
735;neutral; yep;4;1;0;0;[];0
736;positive; how much longer is the nkotb block party love it i need to go to bed so just wondering what time its overlolthanks;123;23;0;8;['?', '!', '`', '.', '.', '.', '.', '!'];13
737;negative; thanks my moms seed is larger and already cracked and planted i hope avalina isnt a dud;96;17;0;7;['!', '`', '(', ')', '.', '`', '!'];4
738;neutral;anyone want to buy me this anthropomorphic planter only available till the st;106;14;0;1;['?'];2
739;neutral;its a beautiful day outside today shame im stuck in the office with the blinds shut to stop glare;101;19;0;4;['`', ',', '`', '.'];2
740;neutral;woke up and there was sun and then it started to rain;54;12;0;1;['!'];2
741;neutral; and the creative vados are out of stock at walmartcom missed it but thanks for tweeting about it;103;18;0;4;['`', '.', '(', ')'];5
742;negative;hates this weather;18;3;0;0;[];0
743;positive;cultural tour by loiusas family kangaroo sightseeing in cemetary lovely;79;11;0;4;['`', ':', '-', '.'];2
744;negative;flapataco was nice until the plebs came in;45;8;0;3;['-', '-', '.'];1
745;positive;oh and yippee for lynz way who gets to celebrate mothers day for the first time as a mother;95;19;0;4;[',', '-', '`', '.'];6
746;positive;am chillaxin after a busy bankholiday hope everbody had a gd wkend holiday in days ;96;17;0;5;[',', '!', '!', '!', '!'];4
747;positive;havin a much better day today finished the last twilight book yesterday classes start next week get at me yall;121;20;0;6;['!', '!', '.', '!', '!', '!'];5
748;positive; new motorcycle and you popped a cable already wowyou ride hard;66;11;0;3;['?', '-', '!'];13
749;neutral;check out the flyer i designed for the notary and retrograde let me know what you think;125;18;0;1;[':'];0
750;positive; thanks welcome back;22;3;0;2;['!', '!'];2
751;negative; i want to experience snow we dont have snow here and it sucks;64;13;0;1;['`'];0
752;negative;i have such a sore head;23;6;0;0;[];0
753;neutral;at the office trying to solve the mystery of whose blood is that in the bathroom toilet eewwwww;101;18;0;5;[',', '.', '.', '.', '.'];0
754;neutral;awwwwi love him his car was soooo cute tonight i love me some carlmy yr old is sad nowlol;102;19;0;11;['.', '.', '!', '!', '!', '.', '.', '.', '.', '.', '.'];12
755;neutral; bryan hasnt replied about wingnuts;36;5;0;1;['`'];1
756;neutral;watching southpark for another minutes;41;6;0;0;[];1
757;positive; thanks amy that video is so awesome did you see tmh hes amazing in that too bouncy bouncy bouncy;109;19;0;9;['!', '!', '?', '`', '!', '!', '!', '!', '!'];11
758;positive; lmaoha no i just simply wanted to go to ny;48;10;0;5;['.', '.', '.', '!', '!'];9
759;negative;is bored cant go on habbo stupid ban;37;8;0;1;[','];0
760;neutral;tried on all the shoes in new look;34;8;0;0;[];1
761;neutral;its too early i wanna go back to sleeep;40;9;0;0;[];0
762;negative; i dont think i am my sisters refusn to get me a ticket now what you doing next week;89;19;0;4;['`', ',', '.', '?'];2
763;neutral; oh wowhope hes ok u take him the vet;45;10;0;5;['.', '.', '.', '`', '?'];0
764;neutral; he died wait what about magic jack i just read it;55;11;0;4;['.', ',', '?', '.'];5
765;neutral;ive just woken up;18;4;0;1;['`'];0
766;positive; hahaha oh man please come to pomona i would love to see you everyday instead of like once a year if that;105;22;0;0;[];0
767;positive;jon made one of the greatest dinners ever roast pork tenderloin on a bed of wild rice on a bed of mixed greens yummy sauce no wine;134;28;0;2;[':', '.'];2
768;negative;nooooo its raininghad leave the beach;45;7;0;6;['.', '.', '.', '.', '.', '.'];0
769;positive;shower class more class taking care of my ladyfriend writing like theres no tomorrow;91;14;0;7;['.', '.', '.', '-', '.', '`', '.'];5
770;positive;rockstar photographer shoot went great tonight a little different than the usual stuff very nice;100;16;0;3;['.', '-', '.'];2
771;positive; great pics you should try to start selling your race photos to runners;72;13;0;1;['!'];1
772;positive;goodmorning twitter oh my gosh i woke up soooo nice lol oh hai thar twitterverse happy everybody especially mine;135;21;1;9;[',', ',', ',', '.', '.', '.', '.', '(', ')'];2
773;positive;dulay i swear it took me hours to get from bel air to alabang but yes i loved reminiscing about our hk trip with you ;125;27;0;2;['.', ','];7
774;neutral;hubby went to pick up my fringe comics today store by his work that store was out of business too no comix in houston have web;135;28;0;4;['.', '.', '.', '.'];10
775;positive;the world is just amazing;26;5;0;1;['!'];2
776;negative;i have no idea what im doing and i am completely lost;54;12;0;1;['.'];0
777;neutral; gadgetopia need to dm you but youre not following me will send email;75;14;0;3;['`', '.', '.'];3
778;positive; awww hes too cutewish i couldve gone;40;7;0;3;['!', '!', '`'];0
779;neutral;got my cable set up win got my lock put on my door win feeling a tad neglected fail;92;19;0;8;['!', '!', '!', '!', '.', '.', '.', '.'];10
780;negative; i think that may look a little silly also my camera is broken so no photo;78;17;0;3;['-', '.', '-'];2
781;positive;just had a great talk with grace about how awesome god is and how he worksthat somehow started with how remote controls work;127;23;0;3;['.', '.', '.'];1
782;negative;this day has beasted me;24;5;0;1;['.'];0
783;neutral; ill be listening;19;3;0;2;['`', '!'];1
784;neutral; oh nou dont have to hit him up he had a family emergency so there was a lil delay just cant wait to see them;117;25;0;8;['.', '.', '.', '.', '`', '.', '.', '`'];2
785;neutral;sitting at home doing nothing gonna be like this all weekend;61;11;0;1;['.'];0
786;negative;oh nevermind i think this thing is unsalvageable;48;8;0;0;[];41
787;neutral; flew brisbane lax today great flight love the lights shame about one drink limit though;97;16;0;5;['-', '.', '.', '.', '!'];5
788;neutral;i think i should go to sleep considering i hav to b up on hrs;66;15;0;4;['.', '.', '.', '.'];1
789;neutral; if i told you how often i wash my hair you would never speak to me again;74;17;0;0;[];3
790;negative;i just spent hours looking for a blog topic and ended up inventing my own grrrr ;106;18;0;1;['.'];1
791;negative; seems to have disappeared out of my life;41;8;0;0;[];0
792;positive;happy mothers day to my mom and every mom everywhere off for a stroll at the beaches laterhopefully;108;18;0;8;['`', ',', '.', '-', '-', '.', '.', '.'];19
793;neutral; ohhh i wanna go gahhh but i dunnooooooo s me confuzzzledd should i or not;79;15;0;4;[':', '?', '?', '?'];1
794;positive;kittykat hello new follower haha how are ya;48;8;0;3;['!', '!', '?'];2
795;positive; haha best thing about office birthdays hey;43;7;0;0;[];0
796;negative; i never knew i could miss my phone so much for hours till they told me i wont have it back till then;109;25;0;2;[',', '`'];3
797;negative;lay aww well i just randomly woke up and now i cant sleep too many things on my mind;87;19;0;2;['`', '!'];4
798;negative;thats it its done already this is one proof that theres nothing fair in this world ;111;17;0;6;['`', '?', '`', '?', '`', '.'];3
799;neutral;i am going to see how long i can do this for;45;12;0;1;['.'];2
800;positive;you better come here by the time i count to or else bam;74;17;0;9;['.', ',', ',', ',', '!', '!', '!', '!', '!'];5
801;neutral;prd take a long time to review;31;7;0;1;['!'];3
802;positive; u know kids do what we do not what we say well dont we all really ;85;21;0;12;['-', '-', '.', '.', '.', ',', '`', ',', '.', '.', '.', '.'];6
803;negative;ugh i wanna play dnd but i know im going to fail this final i need to study;78;18;0;3;['!', '`', '.'];7
804;positive; hi thx for following i teach some chinese lessons on youtube pls feel free to have a look wwwyoutubecomchineselearn;123;19;0;5;[',', ',', '.', '.', '/'];6
805;negative; how sad are you saying that im fat tears;47;9;0;3;['!', '`', '?'];1
806;neutral; why thank you i might just take you up on your offer;54;12;0;1;['.'];1
807;negative;im trying to find the driver for my microsoft lifecam vx webcam and cant find it anywhere anyone have any links;120;21;0;5;['`', '-', '`', '!', '?'];6
808;negative;finally get to lay down for a bit i have a major headache;57;13;0;0;[];1
809;positive; yes you should go see star trek its sooooo much fun;58;11;0;4;[',', '!', '`', '!'];4
810;neutral; mitchel you have no idea how much i want to call you but it costs loads to call from england;98;20;0;5;['!', '!', '!', '!', '!'];2
811;negative;stupid me accidentally gave my honey the atomic flavored buffalo wings and now his stomach feels just awful im sorry baby;127;21;0;6;[',', '.', '.', '.', '.', '.'];3
812;positive; very relaxing thank you hope you get to put your feet up tomorrow and enjoy the day;85;17;0;1;['.'];1
813;positive; yessir that is right;26;5;0;0;[];0
814;neutral; night;7;1;0;1;['!'];1
815;positive;writing my music lit final paper on mozarts eine kleine nashtmusik mom is giving me a handand im actually having a great time;131;23;0;6;['`', '.', '.', '.', '.', '`'];12
816;negative;i got over the crush issue but now tomorrow my friend is going to india for the whole summer im back to being sad;115;24;0;1;['.'];0
817;neutral;too warm;11;2;0;3;['!', '!', '!'];1
818;neutral;ada acara menarik lain keys to the vip di channel v ttg straight yg dikasih tasks to approach strangers in the crowd hmm;124;23;0;4;[':', '.', '.', '.'];8
819;neutral; well hit me and we can seeit depends then;46;9;0;3;['.', '.', '.'];0
820;positive; aww thanx andy;15;3;0;0;[];0
821;positive;some goodies bagged at the car boot including some very cute cross stitch birds for my craft room the man selling was a sweetie;128;24;0;1;['!'];2
822;positive;has just finished ironing his clothes for gonna walk the dog now then grab a showershave and be off looks good too;135;24;2;2;['.', '/'];1
823;neutral;shower time;16;2;0;5;['!', '!', '!', '!', '!'];0
824;positive; coooooooool dooooooooown patience is virtue;59;5;0;15;['.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.'];26
825;neutral;gotta drop off some car parts for a buddy to press out then to the dentist ;103;17;0;2;[',', '!'];1
826;neutral; i cant call im at work;24;6;0;0;[];0
827;negative;going to the courthouse to pay for tags taxes on all our carsthis is gonna be expensive;93;18;0;4;['.', '.', '.', '.'];1
828;negative;so tired ready for bed really in the mood for salt pepper chicken wings noodles but have no money on me for a chinese;126;27;0;3;['!', '!', '!'];3
829;positive;the usual two family parties today happy birthday lily ;83;10;0;3;['.', '.', '!'];5
830;neutral; i am on herefinally and yay seriously that made my day oh fellow hell ruler;81;15;0;5;['.', '.', '.', '.', '.'];7
831;positive;goodnight magic and pretty world;32;5;0;0;[];28
832;neutral;doesnt have a hangover and is getting ready for a good ol english fry up;74;15;0;1;['`'];0
833;neutral;waiting to put my story about stereo skyline up dont know where to put it boooo;82;16;0;3;['.', '`', '.'];9
